date,time_open,time_close,price_open,price_high,price_low,price_close,volume_traded,trades_count,symbol,currency
2022-06-08,00:22:32.8380000,23:57:38.5530000,1.29,1.346,1.25,1.26,352670.65238873,667,GLMR,USD
2022-06-09,00:20:33.3720000,23:59:42.6970000,1.262,1.31,1.253,1.269,107571.31127424,497,GLMR,USD
2022-06-10,00:16:58.4250000,23:47:22.4490000,1.251,1.275,1.16,1.16,864583.62001438,2075,GLMR,USD
2022-06-11,00:03:18.6940000,23:54:54.1040000,1.174,1.195,1.047,1.066,215147.27346855,412,GLMR,USD
2022-06-12,00:27:56.2060000,23:54:07.8270000,1.072,1.079,0.979,0.979,259333.64779344,602,GLMR,USD
2022-06-13,00:03:00.7600000,23:54:24.5490000,0.983,0.99,0.801,0.858,760421.31227218,1127,GLMR,USD
2022-06-14,00:01:03.9910000,23:45:44.3110000,0.858,0.938,0.81,0.867,631703.26542129,877,GLMR,USD
2022-06-15,00:01:58.4770000,23:51:09.2220000,0.863,0.918,0.773,0.9,1016509.2213506,1678,GLMR,USD
2022-06-16,00:02:07.4390000,23:59:15.6880000,0.9,0.907,0.787,0.807,284652.40965805,697,GLMR,USD
2022-06-17,00:00:22.9410000,23:54:08.6080000,0.806,0.816,0.673,0.697,1208022.99653318,1462,GLMR,USD
2022-06-18,00:01:25.8100000,23:54:23.5490000,0.698,0.712,0.554,0.611,1939996.04915897,2249,GLMR,USD
2022-06-19,00:02:06.8960000,23:47:18.7140000,0.61,0.668,0.582,0.654,1061563.44981747,1337,GLMR,USD
2022-06-20,00:04:40.8960000,23:45:16.2880000,0.653,0.725,0.625,0.672,790720.34437483,875,GLMR,USD
2022-06-21,00:05:51.6470000,23:50:17.6420000,0.673,0.705,0.645,0.652,1636552.12518456,1774,GLMR,USD
2022-06-22,00:09:16.1840000,23:55:41.9050000,0.647,0.65,0.601,0.602,1127885.01869299,1251,GLMR,USD
2022-06-23,00:03:12.7230000,23:34:14.8190000,0.602,0.668,0.602,0.648,547264.49689102,613,GLMR,USD
2022-06-24,00:16:00.9780000,23:42:18.0510000,0.645,0.686,0.642,0.686,170066.23630064,252,GLMR,USD
2022-06-25,00:18:47.1940000,23:54:49.5550000,0.683,0.98,0.663,0.71,853546.60608332,740,GLMR,USD
2022-06-26,00:00:23.2530000,23:57:04.3750000,0.712,0.804,0.694,0.694,680243.51126085,812,GLMR,USD
2022-06-27,00:01:25.8640000,23:39:18.1880000,0.698,0.736,0.679,0.683,90318.74214747,195,GLMR,USD
2022-06-28,00:20:44.1620000,23:39:20.4790000,0.687,0.715,0.648,0.648,167640.23740728,348,GLMR,USD
2022-06-29,00:00:50.1150000,23:30:09.1730000,0.649,0.659,0.624,0.634,190916.40822113,300,GLMR,USD
2022-06-30,00:29:00.1340000,23:59:01.5130000,0.633,0.634,0.583,0.619,166421.16901094,331,GLMR,USD
2022-07-01,00:18:04.7060000,23:50:18.8990000,0.619,0.741,0.608,0.644,335840.38337337,448,GLMR,USD
2022-07-02,00:37:05.0860000,23:39:31.0210000,0.638,0.708,0.627,0.679,233283.81289367,371,GLMR,USD
2022-07-03,00:12:36.1130000,23:56:29.1880000,0.698,0.698,0.653,0.673,100814.93610403,167,GLMR,USD
2022-07-04,00:41:57.8380000,23:39:44.2470000,0.671,0.701,0.654,0.699,101339.90806675,209,GLMR,USD
2022-07-05,00:09:08.5380000,23:30:00.7390000,0.698,0.707,0.656,0.674,72841.12291143,168,GLMR,USD
2022-07-06,00:13:49.4460000,22:58:41.9050000,0.677,0.681,0.655,0.677,94061.33336695,161,GLMR,USD
2022-07-07,00:07:57.2510000,23:31:03.9600000,0.674,0.706,0.657,0.689,156694.9855873,201,GLMR,USD
2022-07-08,00:58:48.5180000,23:51:15.0610000,0.695,0.703,0.665,0.686,92076.37451719,168,GLMR,USD
2022-07-09,00:50:55.8470000,23:58:48.3470000,0.683,0.699,0.677,0.689,64931.9174708,114,GLMR,USD
2022-07-10,00:52:35.4530000,23:48:51.1680000,0.679,0.679,0.643,0.649,104625.46788855,131,GLMR,USD
2022-07-11,00:08:06.2630000,23:59:36.2130000,0.65,0.65,0.593,0.6,89640.69884151,183,GLMR,USD
2022-07-12,00:32:25.7410000,23:52:02.7630000,0.599,0.607,0.577,0.577,49542.77286331,221,GLMR,USD
2022-07-13,00:10:32.3820000,23:55:03.8420000,0.578,0.607,0.553,0.603,229529.05579694,363,GLMR,USD
2022-07-14,00:24:03.6140000,23:58:08.8300000,0.601,0.618,0.574,0.609,103810.2602327,162,GLMR,USD
2022-07-15,00:10:40.8950000,22:39:51.1340000,0.609,0.631,0.601,0.613,99580.51627813,178,GLMR,USD
2022-07-16,00:03:10.7000000,23:34:39.8700000,0.609,0.65,0.591,0.616,288201.76718127,225,GLMR,USD
2022-07-17,00:06:16.3630000,22:44:47.5130000,0.625,0.629,0.609,0.621,101226.1284261,157,GLMR,USD
2022-07-18,00:05:28.8590000,23:57:04.2720000,0.609,0.693,0.608,0.69,370013.55625876,401,GLMR,USD
2022-07-19,00:04:56.5620000,23:44:18.7660000,0.68,0.91,0.654,0.76,602964.53086711,712,GLMR,USD
2022-07-20,00:01:59.3780000,23:54:02.5650000,0.765,0.798,0.698,0.707,440854.90716238,381,GLMR,USD
2022-07-21,00:01:44.3340000,23:50:47.1810000,0.703,0.738,0.676,0.729,184423.47030331,266,GLMR,USD
2022-07-22,00:30:33.9550000,23:54:51.8590000,0.732,0.781,0.711,0.717,192267.64314398,312,GLMR,USD
2022-07-23,00:05:40.9470000,23:59:50.5250000,0.713,0.735,0.679,0.698,91129.70706597,174,GLMR,USD
2022-07-24,00:07:34.5370000,23:58:13.2120000,0.702,0.741,0.696,0.729,118402.15977295,216,GLMR,USD
2022-07-25,00:13:58.0530000,23:49:21.8700000,0.728,0.728,0.663,0.663,90245.12690364,190,GLMR,USD
2022-07-26,00:10:50.0830000,23:58:13.5580000,0.661,0.662,0.626,0.651,113309.94501767,174,GLMR,USD
2022-07-27,00:16:34.8980000,23:54:35.3630000,0.654,0.712,0.64,0.712,190372.14656973,256,GLMR,USD
2022-07-28,00:11:27.3270000,23:36:53.9200000,0.706,0.766,0.692,0.749,318045.8308968,302,GLMR,USD
2022-07-29,00:20:24.2180000,23:51:19.4270000,0.742,0.791,0.733,0.771,181783.28641367,317,GLMR,USD
2022-07-30,00:29:21.6080000,23:25:16.6080000,0.779,0.881,0.704,0.802,522791.59501984,618,GLMR,USD
2022-07-31,00:10:44.8210000,23:56:54.6370000,0.801,0.861,0.798,0.8,196632.41183381,261,GLMR,USD
2022-08-01,00:07:05.0380000,23:59:31.9670000,0.796,0.847,0.712,0.731,190794.25553648,339,GLMR,USD
2022-08-02,00:06:13.2170000,23:54:16.8340000,0.735,0.808,0.6,0.709,618655.01062939,960,GLMR,USD
2022-08-03,00:00:13.1040000,23:56:35.4520000,0.704,0.718,0.671,0.686,150888.86107474,286,GLMR,USD
2022-08-04,00:07:23.2940000,23:59:40.6230000,0.693,0.733,0.691,0.727,259839.33163162,300,GLMR,USD
2022-08-05,00:36:12.8840000,23:39:14.4310000,0.734,0.783,0.725,0.758,117199.22549777,274,GLMR,USD
2022-08-06,00:24:49.1580000,23:21:09.3520000,0.75,0.789,0.74,0.769,195409.68450348,346,GLMR,USD
2022-08-07,00:03:27.7220000,23:20:50.4150000,0.755,0.777,0.742,0.759,70905.37632669,189,GLMR,USD
2022-08-08,00:13:38.2170000,23:55:57.7620000,0.767,0.806,0.76,0.767,133957.62464089,315,GLMR,USD
2022-08-09,00:02:46.8180000,22:46:38.5100000,0.764,0.772,0.699,0.716,208429.47807207,311,GLMR,USD
2022-08-10,00:06:10.3730000,23:53:56.7070000,0.712,0.769,0.698,0.766,164324.86740307,288,GLMR,USD
2022-08-11,00:28:33.2750000,23:56:41.5630000,0.754,0.786,0.736,0.74,75320.57469308,218,GLMR,USD
2022-08-12,00:10:48.6450000,23:54:49.1250000,0.735,0.745,0.712,0.741,89574.54280464,276,GLMR,USD
2022-08-13,00:08:56.5910000,23:57:50.7340000,0.741,0.773,0.732,0.733,95171.93002753,290,GLMR,USD
2022-08-14,00:37:59.2800000,23:49:44.4300000,0.736,0.743,0.688,0.7,267560.61855815,385,GLMR,USD
2022-08-15,00:50:32.3010000,23:55:32.4280000,0.705,0.73,0.679,0.72,109256.53134082,197,GLMR,USD
2022-08-16,00:34:52.7760000,23:45:28.1130000,0.729,0.739,0.694,0.7,78706.35699999,162,GLMR,USD
2022-08-17,00:45:51.8730000,23:59:57.7790000,0.701,0.718,0.66,0.672,115443.00646745,198,GLMR,USD
2022-08-18,00:27:45.5970000,23:45:31.0240000,0.668,0.685,0.642,0.642,91894.15090798,188,GLMR,USD
2022-08-19,00:03:47.5300000,23:58:48.8040000,0.64,0.642,0.596,0.609,199137.53297725,290,GLMR,USD
2022-08-20,00:53:44.7500000,23:59:52.0510000,0.618,0.636,0.596,0.611,39791.52299899,124,GLMR,USD
2022-08-21,00:34:48.1380000,23:44:48.3110000,0.618,0.642,0.615,0.636,52750.39511318,121,GLMR,USD
2022-08-22,00:10:18.1570000,23:57:51.5100000,0.633,0.633,0.6,0.623,30583.30179836,97,GLMR,USD
2022-08-23,00:23:02.9050000,23:51:49.9270000,0.618,0.622,0.597,0.617,166488.30480122,129,GLMR,USD
2022-08-24,00:25:55.4450000,23:50:06.6590000,0.612,0.623,0.593,0.6,50984.73124901,132,GLMR,USD
2022-08-25,00:15:09.3770000,23:43:00.3960000,0.6,0.612,0.598,0.6,24217.75853322,119,GLMR,USD
2022-08-26,00:41:08.3340000,23:47:58.0810000,0.602,0.602,0.546,0.546,137356.44286124,206,GLMR,USD
